Time,Bandwidth Usage (MB/s)
Thu Feb  9 09:47:13 2023,0.027255203699513834
Thu Feb  9 09:47:14 2023,0.027084667675013368
Thu Feb  9 09:47:15 2023,0.026982654922103298
Thu Feb  9 09:47:16 2023,0.02683447285225509
Thu Feb  9 09:47:17 2023,0.026669658252207372
Thu Feb  9 09:47:18 2023,0.026506856302668427
Thu Feb  9 09:47:19 2023,0.026346035475365473
Thu Feb  9 09:47:20 2023,0.026187145678664467
Thu Feb  9 09:47:21 2023,0.026035992561415332
Thu Feb  9 09:47:22 2023,0.025886846359742168
Thu Feb  9 09:47:23 2023,0.02573351106213298
Thu Feb  9 09:47:24 2023,0.025582512316235203
Thu Feb  9 09:47:25 2023,0.025466841340272068
Thu Feb  9 09:47:26 2023,0.025318620974677554
Thu Feb  9 09:47:27 2023,0.025172285491658168
Thu Feb  9 09:47:28 2023,0.025033621060848898
Thu Feb  9 09:47:29 2023,0.02489043260492824
Thu Feb  9 09:47:30 2023,0.024748806970955377
Thu Feb  9 09:47:31 2023,0.02460928783390172
Thu Feb  9 09:47:32 2023,0.024481800746298032
Thu Feb  9 09:47:33 2023,0.0243453654723911
Thu Feb  9 09:47:34 2023,0.024216072641004734
Thu Feb  9 09:47:35 2023,0.024119857834770136
Thu Feb  9 09:47:36 2023,0.02398723695356806
Thu Feb  9 09:47:37 2023,0.02397285914671883
Thu Feb  9 09:47:38 2023,0.02384255412461484
Thu Feb  9 09:47:39 2023,0.02371382387617301
Thu Feb  9 09:47:40 2023,0.023585882812270274
Thu Feb  9 09:47:41 2023,0.023470011813015394
Thu Feb  9 09:47:42 2023,0.02338638865676733
Thu Feb  9 09:47:43 2023,0.023262990184590267
Thu Feb  9 09:47:44 2023,0.023140421555593177
Thu Feb  9 09:47:45 2023,0.023054885296884226
Thu Feb  9 09:47:46 2023,0.022934675460891337
Thu Feb  9 09:47:47 2023,0.022820754413989536
Thu Feb  9 09:47:48 2023,0.02270314123396567
Thu Feb  9 09:47:49 2023,0.022636435260508195
Thu Feb  9 09:47:50 2023,0.022521233165263412
Thu Feb  9 09:47:51 2023,0.02241173416371417
Thu Feb  9 09:47:52 2023,0.0223034284234927
Thu Feb  9 09:47:53 2023,0.022191622004011338
Thu Feb  9 09:47:54 2023,0.022080841367402737
Thu Feb  9 09:47:55 2023,0.02200028525245369
Thu Feb  9 09:47:56 2023,0.021896055484117757
Thu Feb  9 09:47:57 2023,0.021788217811192143
Thu Feb  9 09:47:58 2023,0.02168129129545894
Thu Feb  9 09:47:59 2023,0.021575411443834996
Thu Feb  9 09:48:00 2023,0.021470562963133072
Thu Feb  9 09:48:01 2023,0.02137141811769517
Thu Feb  9 09:48:02 2023,0.021268557538785357
Thu Feb  9 09:48:03 2023,0.021268983015400793
Thu Feb  9 09:48:04 2023,0.021195801060523333
Thu Feb  9 09:48:05 2023,0.02109524730949258
Thu Feb  9 09:48:06 2023,0.02099583559075992
Thu Feb  9 09:48:07 2023,0.020901789907448256
Thu Feb  9 09:48:08 2023,0.02080859394759734
Thu Feb  9 09:48:09 2023,0.02076184473182689
Thu Feb  9 09:48:10 2023,0.020665662303359686
Thu Feb  9 09:48:11 2023,0.020615112355539145
Thu Feb  9 09:48:12 2023,0.020529455435854577
Thu Feb  9 09:48:13 2023,0.020435612695423305
Thu Feb  9 09:48:14 2023,0.020369128351742097
Thu Feb  9 09:48:15 2023,0.02027692163861468
Thu Feb  9 09:48:16 2023,0.020185581539123403
Thu Feb  9 09:48:17 2023,0.020099318172936396
Thu Feb  9 09:48:18 2023,0.02000962529526766
Thu Feb  9 09:48:19 2023,0.01992507892822772
Thu Feb  9 09:48:20 2023,0.019836819508744535
Thu Feb  9 09:48:21 2023,0.019749769628764603
Thu Feb  9 09:48:22 2023,0.01966735742944506
Thu Feb  9 09:48:23 2023,0.019581383003226302
Thu Feb  9 09:48:24 2023,0.01952151012098475
Thu Feb  9 09:48:25 2023,0.019441120038712935
Thu Feb  9 09:48:26 2023,0.01935748547314887
Thu Feb  9 09:48:27 2023,0.019278486179973037
Thu Feb  9 09:48:28 2023,0.01919600927836777
Thu Feb  9 09:48:29 2023,0.01911423819949909
Thu Feb  9 09:48:30 2023,0.01903316172114694
Thu Feb  9 09:48:31 2023,0.018953101427850894
